	 	 	 T = 3; v = [-50, 50]
N	Simple mean	Dichotomy	Double step	Kahan sum	FMA function	Simple (double)	sqrt(T/pi)
10000	0.9771985	0.9771997	0.9771996	0.9771996	0.9771985	0.9771996	0.977205
20000	0.9772024	0.9772037	0.9772037	0.9772037	0.9772023	0.9772037	0.977205
30000	0.9772015	0.9772044	0.9772044	0.9772044	0.9772015	0.9772044	0.977205
40000	0.9772016	0.9772047	0.9772046	0.9772047	0.9772016	0.9772047	0.977205
50000	0.9772032	0.9772047	0.9772048	0.9772048	0.9772032	0.9772048	0.977205
60000	0.9772013	0.9772048	0.9772049	0.9772049	0.9772013	0.9772049	0.977205
70000	0.9771989	0.9772049	0.977205	0.9772049	0.9771989	0.9772049	0.977205
80000	0.9771974	0.977205	0.9772049	0.977205	0.9771974	0.9772049	0.977205
90000	0.9772006	0.977205	0.977205	0.977205	0.9772006	0.977205	0.977205
100000	0.9771992	0.977205	0.977205	0.977205	0.9771991	0.977205	0.977205
